Environment,Service,OS,SQL,EndpointInfo,URL
UAT,Box,Linux,MSSQL,Swagger,http://10.204.2.29/kiwiservices/boxservice/swagger/
UAT,Box,Windows,MSSQL,Info,http://10.204.2.221/kiwiservices/boxservice/v1/info/
UAT,Box,Windows,MySQL,Info,http://10.204.2.13/kiwiservices/boxservice/v1/info/
UAT,Box,Linux,MSSQL,Info,http://10.204.2.29/kiwiservices/boxservice/v1/info/
DEV,Module,Windows,MSSQL,Swagger,http://10.4.1.232/kiwiservices/moduleservice/swagger/
DEV,Module,Linux,MySQL,Swagger,http://10.4.1.233/kiwiservices/moduleservice/swagger/
DEV,Module,Windows,MSSQL,Info,http://10.4.1.232/kiwiservices/moduleservice/v1/info/
DEV,Module,Linux,MySQL,Info,http://10.4.1.233/kiwiservices/moduleservice/v1/info/
UAT,Module,Windows,MSSQL,Swagger,http://10.204.2.221/kiwiservices/moduleservice/swagger/
UAT,Module,Windows,MySQL,Swagger,http://10.204.2.13/kiwiservices/moduleservice/swagger/
UAT,Module,Linux,MSSQL,Swagger,http://10.204.2.29/kiwiservices/moduleservice/swagger/
UAT,Module,Windows,MSSQL,Info,http://10.204.2.221/kiwiservices/moduleservice/v1/info/
UAT,Module,Windows,MySQL,Info,http://10.204.2.13/kiwiservices/moduleservice/v1/info/
UAT,Module,Linux,MSSQL,Info,http://10.204.2.29/kiwiservices/moduleservice/v1/info/
DEV,Voucher,Windows,MSSQL,Swagger,http://10.4.1.232/kiwiservices/voucherservice/swagger/
DEV,Voucher,Linux,MySQL,Swagger,http://10.4.1.233/kiwiservices/voucherservice/swagger/
DEV,Voucher,Windows,MSSQL,Info,http://10.4.1.232/kiwiservices/voucherservice/v1/info/
DEV,Voucher,Linux,MySQL,Info,http://10.4.1.233/kiwiservices/voucherservice/v1/info/
DEV,Category,Windows,MSSQL,Swagger,http://10.4.1.232/kiwiservices/categoryservice/swagger/
DEV,Category,Linux,MySQL,Swagger,http://10.4.1.233/kiwiservices/categoryservice/swagger/
DEV,Category,Windows,MSSQL,Info,http://10.4.1.232/kiwiservices/categoryservice/v1/info/
DEV,Category,Linux,MySQL,Info,http://10.4.1.233/kiwiservices/categoryservice/v1/info/
DEV,Order,Windows,MSSQL,Swagger,http://10.4.1.232/kiwiservices/orderservice/swagger/
DEV,Order,Linux,MySQL,Swagger,http://10.4.1.233/kiwiservices/orderservice/swagger/
DEV,Order,Windows,MSSQL,Info,http://10.4.1.232/kiwiservices/orderservice/v1/info/
DEV,Orders,Linux,MySQL,Info,http://10.4.1.233/kiwiservices/orderservice/v1/info/
UAT,Voucher,Windows,MSSQL,Swagger,http://10.204.2.221/kiwiservices/voucherservice/swagger/
UAT,Voucher,Windows,MySQL,Swagger,http://10.204.2.13/kiwiservices/voucherservice/swagger/
UAT,Voucher,Linux,MSSQL,Swagger,http://10.204.2.29/kiwiservices/voucherservice/swagger/
UAT,Category,Windows,MSSQL,Swagger,http://10.204.2.221/kiwiservices/categoryservice/swagger/
UAT,Category,Windows,MySQL,Swagger,http://10.204.2.13/kiwiservices/categoryservice/swagger/
UAT,Category,Linux,MSSQL,Swagger,http://10.204.2.29/kiwiservices/categoryservice/swagger/
UAT,Order,Windows,MSSQL,Swagger,http://10.204.2.221/kiwiservices/orderservice/swagger/
UAT,Order,Windows,MySQL,Swagger,http://10.204.2.13/kiwiservices/orderservice/swagger/
UAT,Order,Linux,MSSQL,Swagger,http://10.204.2.29/kiwiservices/orderservice/swagger/
DEV,Customer,Windows,MSSQL,Swagger,http://10.4.1.232/kiwiservices/customerservice/swagger/
DEV,Customer,Linux,MYSQL,Swagger,http://10.4.1.233/kiwiservices/customerservice/swagger/
UAT,Customer,Windows,MSSQL,Swagger,http://10.204.2.221/kiwiservices/customerservice/swagger/
UAT,Customer,Windows,MySQL,Swagger,http://10.204.2.13/kiwiservices/customerservice/swagger/
UAT,Customer,Linux,MSSQL,Swagger,http://10.204.2.29/kiwiservices/customerservice/swagger/
